### MNXref Version 18/02/2013 ###
#
#FILE:	comp_xref.tsv
#
#RESOURCE:	The Gene Ontology
#PREFIX:	go
#URL:	http://www.geneontology.org
#VERSION:	09/06/2012
#LICENSE:	The GO Consortium gives permission for any of its products to be used 
#	without license for any purpose under three conditions: 
#	 1- That the Gene Ontology Consortium is clearly acknowledged as the source of 
#	the product; 
#	 2- That any GO Consortium file(s) displayed publicly include the date(s) and/or 
#	version number(s) of the relevant GO file(s) (the GO is evolving and changes will 
#	occur with time); 
#	 3- That neither the content of the GO file(s) nor the logical relationships embedded 
#	within the GO file(s) be altered in any way. 
#	(http://www.geneontology.org/GO.cite.shtml) 
#
#RESOURCE:	The Cell Component Ontology
#PREFIX:	cco
#URL:	http://bioinformatics.ai.sri.com/CCO/
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#
#XREF	MNX_ID	Description
go:0044450	MNXC3	microtubule organizing center part|MTOC component|microtubule organizing centre component
go:0044451	MNXC6	nucleoplasm part
go:0044452	MNXC6	nucleolar part|nucleolus component
go:0044453	MNXC7	nuclear membrane part
go:0044454	MNXC6	nuclear chromosome part
go:0044455	MNXC5	mitochondrial membrane part
go:0044456	MNXC1	synapse part
go:0044457	MNXC1	cell septum part
go:0044459	MNXC20	plasma membrane part
go:0044460	MNXC28	flagellum part|flagellum component
go:0044461	MNXC28	bacterial-type flagellum part|flagellin-based flagellum part
go:0044462	MNXC1	external encapsulating structure part
go:0044463	MNXC1	cell projection part
go:0044464	MNXC1	cell part
go:0044530	MNXC6	supraspliceosomal complex|supraspliceosome complex
go:0044538	MNXC2	host cell periphery
go:0044545	MNXC6	NSL complex|non-specific lethal complex
go:0044567	MNXC1	primary cell wall cellulose synthase complex|primary cell-wall cellulose synthase complex|primary cell wall CESA complex
go:0044568	MNXC1	secondary cell wall cellulose synthase complex|secondary cell wall  CESA complex|secondary cell-wall cellulose synthase complex|secondary cell wall  CesA complex
go:0044569	MNXC1	[Ni-Fe] hydrogenase complex|nickel-iron hydrogenase complex|Ni-Fe hydrogenase complex
go:0044570	MNXC21	starch utilization system complex|Sus complex
go:0044599	MNXC3	AP-5 adaptor complex|adaptor protein-5 adaptor complex
go:0044609	MNXC1	DBIRD complex
go:0045009	MNXC3	chitosome
go:0045025	MNXC4	mitochondrial degradosome|mtEXO
go:0045092	MNXC20	interleukin-18 receptor complex|IL-18 receptor complex
go:0045095	MNXC1	keratin filament
go:0045096	MNXC1	acidic keratin|type I intermediate filament
go:0045097	MNXC1	basic/neutral keratin|type II intermediate filament
go:0045098	MNXC1	type III intermediate filament
go:0045099	MNXC1	vimentin
go:0045100	MNXC1	desmin
go:0045101	MNXC1	glial fibrillary acidic protein|GFAP
go:0045102	MNXC1	peripherin
go:0045111	MNXC1	intermediate filament cytoskeleton
go:0045120	MNXC6	pronucleus
go:0045121	MNXC1	membrane raft|lipid raft
go:0045160	MNXC1	myosin I complex
go:0045169	MNXC3	fusome
go:0045170	MNXC3	spectrosome
go:0045171	MNXC2	intercellular bridge
go:0045172	MNXC2	germline ring canal
go:0045177	MNXC1	apical part of cell
go:0045178	MNXC1	basal part of cell
go:0045179	MNXC3	apical cortex
go:0045180	MNXC3	basal cortex
go:0045202	MNXC1	synapse|synaptic junction
go:0045203	MNXC21	integral to cell outer membrane
go:0045211	MNXC1	postsynaptic membrane|post-synaptic membrane
go:0045239	MNXC3	tricarboxylic acid cycle enzyme complex|TCA cycle enzyme complex
go:0045240	MNXC3	dihydrolipoyl dehydrogenase complex|alpha-ketoglutarate dehydrogenase complex|2-oxoglutarate dehydrogenase complex
go:0045241	MNXC3	cytosolic alpha-ketoglutarate dehydrogenase complex
go:0045242	MNXC3	isocitrate dehydrogenase complex (NAD+)
go:0045243	MNXC3	cytosolic isocitrate dehydrogenase complex (NAD+)
go:0045244	MNXC4	succinate-CoA ligase complex (GDP-forming)|succinyl-CoA synthetase, GDP-forming
go:0045246	MNXC3	cytosolic tricarboxylic acid cycle enzyme complex
go:0045247	MNXC3	cytosolic electron transfer flavoprotein complex
go:0045248	MNXC3	cytosolic oxoglutarate dehydrogenase complex
go:0045249	MNXC3	cytosol pyruvate dehydrogenase (lipoamide) phosphatase complex
go:0045250	MNXC3	cytosolic pyruvate dehydrogenase complex
go:0045251	MNXC3	electron transfer flavoprotein complex
go:0045252	MNXC1	oxoglutarate dehydrogenase complex|dihydrolipoamide S-succinyltransferase complex
go:0045253	MNXC3	pyruvate dehydrogenase (lipoamide) phosphatase complex
go:0045254	MNXC3	pyruvate dehydrogenase complex|pyruvate dehydrogenase complex (lipoamide)
go:0045257	MNXC1	succinate dehydrogenase complex (ubiquinone)
go:0045258	MNXC20	plasma membrane succinate dehydrogenase complex (ubiquinone)
go:0045259	MNXC1	proton-transporting ATP synthase complex|hydrogen-transporting ATP synthase complex|hydrogen-translocating F-type ATPase complex
go:0045260	MNXC20	plasma membrane proton-transporting ATP synthase complex|plasma membrane hydrogen-translocating F-type ATPase complex|hydrogen-transporting ATP synthase
go:0045261	MNXC1	proton-transporting ATP synthase complex, catalytic core F(1)|hydrogen-transporting ATP synthase, F1 sector
go:0045262	MNXC20	plasma membrane proton-transporting ATP synthase complex, catalytic core F(1)
go:0045263	MNXC1	proton-transporting ATP synthase complex, coupling factor F(o)|hydrogen-transporting ATP synthase, F0 sector|hydrogen-transporting ATP synthase complex, coupling factor F(o)|proton-transporting ATP synthase complex, coupling factor F(0)
go:0045264	MNXC20	plasma membrane proton-transporting ATP synthase complex, coupling factor F(o)
go:0045265	MNXC1	proton-transporting ATP synthase, stator stalk|hydrogen-transporting ATP synthase, stator stalk
go:0045266	MNXC20	plasma membrane proton-transporting ATP synthase, stator stalk
go:0045267	MNXC1	proton-transporting ATP synthase, catalytic core|hydrogen-transporting ATP synthase, catalytic core
go:0045268	MNXC20	plasma membrane proton-transporting ATP synthase, catalytic core
go:0045269	MNXC1	proton-transporting ATP synthase, central stalk|hydrogen-transporting ATP synthase, central stalk
go:0045270	MNXC20	plasma membrane proton-transporting ATP synthase, central stalk
go:0045271	MNXC1	respiratory chain complex I|NADH dehydrogenase (ubiquinone) complex|NADH-Q oxidoreductase complex|NADH dehydrogenase complex (ubiquinone)
go:0045272	MNXC20	plasma membrane respiratory chain complex I
go:0045273	MNXC1	respiratory chain complex II
go:0045274	MNXC20	plasma membrane respiratory chain complex II
go:0045275	MNXC1	respiratory chain complex III|ubiquinol-cytochrome c oxidoreductase complex|cytochrome bc1 complex|complex III|ubiquinol-cytochrome-c reductase complex|cytochrome bc(1) complex
go:0045276	MNXC20	plasma membrane respiratory chain complex III|plasma membrane ubiquinol-cytochrome-c reductase complex
go:0045277	MNXC1	respiratory chain complex IV|cytochrome c oxidase complex
go:0045278	MNXC20	plasma membrane respiratory chain complex IV
go:0045281	MNXC1	succinate dehydrogenase complex
go:0045282	MNXC20	plasma membrane succinate dehydrogenase complex
go:0045283	MNXC1	fumarate reductase complex
go:0045284	MNXC20	plasma membrane fumarate reductase complex
go:0045293	MNXC3	mRNA editing complex|editosome
go:0045298	MNXC1	tubulin complex
go:0045320	MNXC8	chloroplast proton-transporting ATP synthase complex|chloroplast hydrogen-translocating F-type ATPase complex|chloroplast proton-transporting F-type ATPase complex
go:0045323	MNXC20	interleukin-1 receptor complex|IL-1 receptor complex
go:0045334	MNXC3	clathrin-coated endocytic vesicle
go:0045335	MNXC3	phagocytic vesicle|phagosome
go:0045336	MNXC3	clathrin-coated phagocytic vesicle|clathrin-coated phagosome
go:0045495	MNXC3	pole plasm|polar plasm
go:0046536	MNXC6	dosage compensation complex
go:0046540	MNXC6	U4/U6 x U5 tri-snRNP complex|U4/U6.U5 snRNP complex
go:0046581	MNXC1	intercellular canaliculus
go:0046610	MNXC17	lysosomal proton-transporting V-type ATPase, V0 domain|lysosomal hydrogen ion-transporting ATPase V0 domain
go:0046611	MNXC17	lysosomal proton-transporting V-type ATPase complex|lysosomal hydrogen-translocating V-type ATPase complex
go:0046612	MNXC17	lysosomal proton-transporting V-type ATPase, V1 domain|lysosomal hydrogen ion-transporting ATPase V1 domain
go:0046658	MNXC20	anchored to plasma membrane
go:0046691	MNXC20	intracellular canaliculus
go:0046695	MNXC6	SLIK (SAGA-like) complex|SAGA (alt) complex|SLIK/SALSA complex|SALSA complex
go:0046696	MNXC1	lipopolysaccharide receptor complex|LPS receptor complex
go:0046727	MNXC27	capsomere|capsomer
go:0046729	MNXC27	viral procapsid
go:0046798	MNXC27	viral portal complex
go:0046806	MNXC27	viral scaffold
go:0046808	MNXC6	assemblon
go:0046809	MNXC6	replication compartment
go:0046816	MNXC1	virion transport vesicle
go:0046818	MNXC6	dense nuclear body
go:0046821	MNXC1	extrachromosomal DNA
go:0046858	MNXC1	chlorosome
go:0046859	MNXC3	hydrogenosomal membrane|hydrogenosome membrane
go:0046860	MNXC14	glycosome membrane
go:0046861	MNXC14	glyoxysomal membrane|glyoxysome membrane
go:0046862	MNXC18	chromoplast membrane
go:0046868	MNXC20	mesosome
go:0046930	MNXC1	pore complex|pore
go:0048046	MNXC2	apoplast
go:0048179	MNXC20	activin receptor complex
go:0048180	MNXC2	activin complex
go:0048183	MNXC2	activin AB complex
go:0048188	MNXC6	Set1C/COMPASS complex|COMPASS complex|Set1/COMPASS complex|Set1C
go:0048189	MNXC6	Lid2 complex
go:0048196	MNXC1	plant extracellular matrix
go:0048217	MNXC22	pectic matrix
go:0048222	MNXC22	glycoprotein network|extensin
go:0048223	MNXC22	hemicellulose network
go:0048224	MNXC22	lignin network
go:0048225	MNXC22	suberin network
go:0048226	MNXC22	Casparian strip
go:0048237	MNXC11	rough endoplasmic reticulum lumen|RER lumen|rough ER lumen
go:0048238	MNXC11	smooth endoplasmic reticulum lumen|SER lumen|smooth ER lumen
go:0048269	MNXC1	methionine adenosyltransferase complex|MAT complex
go:0048353	MNXC6	primary endosperm nucleus
go:0048471	MNXC3	perinuclear region of cytoplasm
go:0048475	MNXC1	coated membrane
go:0048476	MNXC1	Holliday junction resolvase complex|resolvasome
go:0048492	MNXC3	ribulose bisphosphate carboxylase complex|RubisCO complex
go:0048493	MNXC20	plasma membrane-derived thylakoid ribulose bisphosphate carboxylase complex|plasma membrane ribulose bisphosphate carboxylase complex
go:0048494	MNXC3	chromatophore ribulose bisphosphate carboxylase complex
go:0048500	MNXC3	signal recognition particle
go:0048501	MNXC3	signal recognition particle, plasma membrane targeting
go:0048555	MNXC6	generative cell nucleus
go:0048556	MNXC6	microsporocyte nucleus|pollen mother cell nucleus|microspore mother cell nucleus
go:0048770	MNXC3	pigment granule
go:0048786	MNXC1	presynaptic active zone|pre-synaptic active zone
go:0048787	MNXC1	presynaptic active zone membrane|active zone plasma membrane|active zone presynaptic plasma membrane|active zone pre-synaptic plasma membrane|pre-synaptic active zone membrane
go:0048788	MNXC1	presynaptic cytoskeletal matrix assembled at active zones|presynaptic cytomatrix assembled at active zones
go:0051077	MNXC1	secondary cell septum
go:0051233	MNXC1	spindle midzone|spindle equator|central spindle
go:0051285	MNXC3	cell cortex of cell tip|cell cortex of cell end
go:0051286	MNXC1	cell tip|cell end
go:0052718	MNXC1	tRNA-specific adenosine-34 deaminase complex|tRNA-A34 deaminase complex
go:0055028	MNXC3	cortical microtubule
go:0055029	MNXC6	nuclear DNA-directed RNA polymerase complex
go:0055031	MNXC1	gamma-tubulin large complex, equatorial microtubule organizing center|gamma-tubulin large complex, eMTOC|gamma-tubulin large complex, equatorial microtubule organizing centre
go:0055032	MNXC3	gamma-tubulin large complex, spindle pole body
go:0055033	MNXC3	gamma-tubulin large complex, interphase microtubule organizing center|gamma-tubulin large complex, interphase microtubule organizing centre|gamma-tubulin large complex, iMTOC
go:0055035	MNXC18	plastid thylakoid membrane
go:0055036	MNXC27	virion membrane
go:0055037	MNXC3	recycling endosome
go:0055038	MNXC3	recycling endosome membrane
go:0055039	MNXC2	trichocyst
go:0055040	MNXC19	periplasmic flagellum
go:0055044	MNXC1	symplast
go:0055051	MNXC1	ATP-binding cassette (ABC) transporter complex, integrated substrate binding
go:0055052	MNXC1	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing
go:0055087	MNXC3	Ski complex
go:0055120	MNXC3	striated muscle dense body
go:0055125	MNXC6	Nic96 complex
go:0055126	MNXC6	Nup82 complex
go:0060053	MNXC1	neurofilament cytoskeleton
go:0060076	MNXC1	excitatory synapse
go:0060077	MNXC1	inhibitory synapse
go:0060091	MNXC1	kinocilium
go:0060102	MNXC2	collagen and cuticulin-based cuticle extracellular matrix
go:0060103	MNXC1	collagen and cuticulin-based cuticle extracellular matrix part
go:0060104	MNXC1	surface coat of collagen and cuticulin-based cuticle extracellular matrix
go:0060105	MNXC1	epicuticle of collagen and cuticulin-based cuticle extracellular matrix
go:0060106	MNXC1	cortical layer of collagen and cuticulin-based cuticle extracellular matrix
go:0060107	MNXC1	annuli extracellular matrix
go:0060108	MNXC1	annular furrow extracellular matrix
go:0060109	MNXC1	medial layer of collagen and cuticulin-based cuticle extracellular matrix
go:0060110	MNXC1	basal layer of collagen and cuticulin-based cuticle extracellular matrix
go:0060111	MNXC1	alae of collagen and cuticulin-based cuticle extracellular matrix
go:0060170	MNXC20	cilium membrane
go:0060171	MNXC1	stereocilium membrane
go:0060187	MNXC1	cell pole
go:0060198	MNXC3	clathrin sculpted vesicle
go:0060199	MNXC3	clathrin sculpted glutamate transport vesicle|clathrin sculpted glutamate constitutive secretory pathway transport vesicle
go:0060200	MNXC3	clathrin sculpted acetylcholine transport vesicle|clathrin sculpted acetylcholine constitutive secretory pathway transport vesicle
go:0060201	MNXC3	clathrin sculpted acetylcholine transport vesicle membrane|clathrin sculpted acetylcholine constitutive secretory pathway transport vesicle membrane
go:0060202	MNXC3	clathrin sculpted acetylcholine transport vesicle lumen|clathrin sculpted acetylcholine constitutive secretory pathway transport vesicle lumen
go:0060203	MNXC3	clathrin sculpted glutamate transport vesicle membrane|clathrin sculpted glutamate constitutive secretory pathway transport vesicle membrane
go:0060204	MNXC3	clathrin sculpted glutamate transport vesicle lumen|clathrin sculpted glutamate constitutive secretory pathway transport vesicle lumen
go:0060205	MNXC3	cytoplasmic membrane-bounded vesicle lumen|cytoplasmic membrane-enclosed vesicle lumen
go:0060293	MNXC3	germ plasm
go:0060342	MNXC1	photoreceptor inner segment membrane
go:0060387	MNXC1	fertilization envelope
go:0060388	MNXC1	vitelline envelope
go:0060417	MNXC3	yolk
go:0060418	MNXC3	yolk plasma
go:0060473	MNXC3	cortical granule
go:0060987	MNXC1	lipid tube
go:0061174	MNXC1	type I terminal button|type I terminal bouton
go:0061175	MNXC1	type II terminal button|type II terminal bouton
go:0061176	MNXC1	type Ib terminal button|type Ib terminal bouton
go:0061177	MNXC1	type Is terminal button
go:0061200	MNXC3	clathrin sculpted gamma-aminobutyric acid transport vesicle|clathrin sculpted GABA transport vesicle
go:0061201	MNXC3	clathrin sculpted gamma-aminobutyric acid transport vesicle lumen|clathrin sculpted GABA transport vesicle lumen
go:0061202	MNXC3	clathrin sculpted gamma-aminobutyric acid transport vesicle membrane|clathrin sculpted GABA transport vesicle membrane
go:0065010	MNXC2	extracellular membrane-bounded organelle|extracellular membrane-enclosed organelle
go:0070013	MNXC1	intracellular organelle lumen
go:0070014	MNXC20	sucrase-isomaltase complex
go:0070017	MNXC20	alphav-beta3 integrin-thrombospondin complex
go:0070018	MNXC20	transforming growth factor beta type I receptor homodimeric complex|TGFBR1 homodimer|transforming growth factor beta type I receptor complex|TGF-beta type I receptor complex|TGF-beta type I receptor dimer
go:0070019	MNXC20	transforming growth factor beta type II receptor homodimeric complex|TGF-beta type II receptor complex|TGFBR2 homodimer|TGF-beta type II receptor dimer|transforming growth factor beta type II receptor complex
go:0070020	MNXC20	transforming growth factor beta1-type II receptor complex|TGF-beta receptor II-TGF-beta1 complex|TGF-beta1-type II receptor complex
go:0070021	MNXC20	transforming growth factor beta1-type II receptor-type I receptor complex|TGF-beta1-type II receptor-type I receptor complex|TGF-beta 1:type II receptor:type I receptor complex|TGF-beta receptor II-TGF-beta receptor I-TGF-beta1 complex
go:0070022	MNXC20	transforming growth factor beta receptor homodimeric complex|transforming growth factor beta receptor complex
go:0070023	MNXC20	interleukin-12-interleukin-12 receptor complex|IL12-IL12 receptor complex
go:0070024	MNXC20	CD19-Vav-PIK3R1 complex|CD19-Vav-PI 3-kinase (p85 subunit) complex
go:0070029	MNXC20	alphav-beta3 integrin-osteopontin complex
go:0070030	MNXC20	alphav-beta1 integrin-osteopontin complex
go:0070031	MNXC20	alphav-beta5 integrin-osteopontin complex
go:0070032	MNXC1	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex
go:0070033	MNXC1	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex
go:0070044	MNXC1	synaptobrevin 2-SNAP-25-syntaxin-1a complex
go:0070045	MNXC1	synaptobrevin 2-SNAP-25-syntaxin-2 complex
go:0070046	MNXC1	synaptobrevin 2-SNAP-25-syntaxin-3 complex
go:0070047	MNXC1	synaptobrevin 2-SNAP-25-syntaxin-4 complex
go:0070048	MNXC1	endobrevin-SNAP-25-syntaxin-1a complex
go:0070049	MNXC1	endobrevin-SNAP-25-syntaxin-2 complex
go:0070056	MNXC1	prospore membrane leading edge|forespore membrane leading edge
go:0070057	MNXC1	prospore membrane spindle pole body attachment site|forespore membrane spindle pole body attachment site|prospore membrane SPB attachment site|forespore membrane SPB attachment site
go:0070062	MNXC2	extracellular vesicular exosome
go:0070065	MNXC1	cellubrevin-VAMP4-syntaxin-16 complex
go:0070066	MNXC1	cellubrevin-VAMP4-endobrevin-syntaxin-6 complex
go:0070067	MNXC1	syntaxin-6-syntaxin-16-Vti1a complex
go:0070068	MNXC1	VAMP4-syntaxin-6-syntaxin-16-Vti1a complex
go:0070069	MNXC1	cytochrome complex
go:0070074	MNXC1	mononeme
go:0070081	MNXC3	clathrin sculpted monoamine transport vesicle|clathrin sculpted monoamine constitutive secretory pathway transport vesicle
go:0070082	MNXC3	clathrin sculpted monoamine transport vesicle lumen|clathrin sculpted monoamine constitutive secretory pathway transport vesicle lumen
go:0070083	MNXC3	clathrin sculpted monoamine transport vesicle membrane|clathrin sculpted monoamine constitutive secretory pathway transport vesicle membrane
go:0070088	MNXC3	PHA granule|polyhydroxyalkanoate granule
go:0070090	MNXC1	metaphase plate
go:0070110	MNXC20	ciliary neurotrophic factor receptor complex
go:0070111	MNXC3	organellar chromatophore|Paulinella-type chromatophore
go:0070112	MNXC3	organellar chromatophore membrane|Paulinella-type chromatophore membrane
go:0070113	MNXC3	organellar chromatophore inner membrane|Paulinella-type chromatophore inner membrane
go:0070114	MNXC3	organellar chromatophore outer membrane|Paulinella-type chromatophore outer membrane
go:0070115	MNXC3	organellar chromatophore intermembrane space|Paulinella-type chromatophore intermembrane space
go:0070116	MNXC3	organellar chromatophore thylakoid|Paulinella-type chromatophore thylakoid
go:0070117	MNXC3	organellar chromatophore thylakoid lumen|Paulinella-type chromatophore thylakoid lumen
go:0070118	MNXC3	organellar chromatophore thylakoid membrane|Paulinella-type chromatophore thylakoid membrane
go:0070160	MNXC1	occluding junction|occluding cell junction
go:0070161	MNXC1	anchoring junction|anchoring cell junction
go:0070176	MNXC6	DRM complex|DP/Rb/MuvB
go:0070187	MNXC6	telosome|Pot1 complex|shelterin complex|Pot1-Tpz1 complex
go:0070188	MNXC6	Stn1-Ten1 complex
go:0070195	MNXC1	growth hormone receptor complex
go:0070209	MNXC6	ASTRA complex
go:0070210	MNXC6	Rpd3L-Expanded complex|Clr6-LE complex
go:0070211	MNXC6	Snt2C complex
go:0070214	MNXC3	CSK-GAP-A.p62 complex
go:0070250	MNXC20	mating projection membrane
go:0070258	MNXC1	inner membrane complex
go:0070263	MNXC22	external side of fungal-type cell wall
go:0070264	MNXC6	transcription factor TFIIIE complex
go:0070274	MNXC6	RES complex|pre-mRNA retention and splicing complex
go:0070288	MNXC1	ferritin complex
go:0070289	MNXC2	extracellular ferritin complex
go:0070310	MNXC6	ATR-ATRIP complex
go:0070311	MNXC6	nucleosomal methylation activator complex|NUMAC
go:0070312	MNXC6	RAD52-ERCC4-ERCC1 complex
go:0070313	MNXC6	RGS6-DNMT1-DMAP1 complex
go:0070319	MNXC3	Golgi to plasma membrane transport vesicle|Golgi-plasma membrane transport vesicle|Golgi to plasma membrane constitutive secretory pathway transport vesicle
go:0070331	MNXC1	CD20-Lck-Fyn complex
go:0070332	MNXC1	CD20-Lck-Lyn-Fyn complex
go:0070333	MNXC20	alpha6-beta4 integrin-Shc-Grb2 complex
go:0070334	MNXC20	alpha6-beta4 integrin-laminin 5 complex
go:0070353	MNXC6	GATA1-TAL1-TCF3-Lmo2 complex
go:0070354	MNXC6	GATA2-TAL1-TCF3-Lmo2 complex
go:0070355	MNXC1	synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a-complexin II complex
go:0070356	MNXC1	synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a complex
go:0070357	MNXC20	alphav-beta3 integrin-CD47 complex
go:0070369	MNXC3	beta-catenin-TCF7L2 complex|beta-catenin-TCF4 complex
go:0070381	MNXC3	endosome to plasma membrane transport vesicle|endosome-plasma membrane transport vesicle|endosome to plasma membrane constitutive secretory pathway transport vesicle
go:0070382	MNXC3	exocytic vesicle|exocytic constitutive secretory pathway transport vesicle|exocytotic vesicle
go:0070385	MNXC11	egasyn-beta-glucuronidase complex
go:0070386	MNXC11	procollagen-proline 4-dioxygenase complex, alpha(I) type|procollagen-proline, 2-oxoglutarate-4-dioxygenase complex, alpha(I) type
go:0070387	MNXC11	procollagen-proline 4-dioxygenase complex, alpha(II) type|procollagen-proline, 2-oxoglutarate-4-dioxygenase complex, alpha(II) type
go:0070388	MNXC11	procollagen-proline 4-dioxygenase complex, alpha(III) type|procollagen-proline, 2-oxoglutarate-4-dioxygenase complex, alpha(III) type
go:0070390	MNXC6	transcription export complex 2|Sac3-Thp1-Sus1-Cdc31 complex|TREX-2 complex
go:0070418	MNXC6	DNA-dependent protein kinase complex|DNA-PK complex|DNA-PK-Ku antigen complex
go:0070419	MNXC1	nonhomologous end joining complex|NHEJ complex|non-homologous end joining complex
go:0070420	MNXC1	Ku-DNA ligase complex
go:0070421	MNXC6	DNA ligase III-XRCC1 complex
go:0070422	MNXC3	G-protein beta/gamma-Raf-1 complex
go:0070435	MNXC20	Shc-EGFR complex
go:0070436	MNXC20	Grb2-EGFR complex
go:0070437	MNXC20	Grb2-Shc complex
go:0070438	MNXC1	mTOR-FKBP12-rapamycin complex
go:0070439	MNXC6	Mad-Max-mSin3A complex
go:0070440	MNXC6	Mad-Max-mSin3B complex
go:0070441	MNXC3	G-protein beta/gamma-Btk complex
go:0070442	MNXC20	alphaIIb-beta3 integrin complex
go:0070443	MNXC6	Mad-Max complex
go:0070449	MNXC6	elongin complex|transcription elongation factor SIII complex|elongin (SIII) complex
go:0070450	MNXC20	interleukin4-interleukin-4 receptor complex|IL4-IL4 receptor complex
go:0070451	MNXC1	cell hair|non-sensory hair
go:0070461	MNXC6	SAGA-type complex|SAGA family complex
go:0070464	MNXC20	alphav-beta3 integrin-collagen alpha3(VI) complex
go:0070465	MNXC20	alpha1-beta1 integrin-alpha3(VI) complex
go:0070466	MNXC20	alpha2-beta1 integrin-alpha3(VI) complex
go:0070467	MNXC6	RC-1 DNA recombination complex|DNA recombination complex RC-1|RC-1 complex (recombination complex 1)
go:0070469	MNXC1	respiratory chain|membrane electron transport chain
go:0070470	MNXC20	plasma membrane respiratory chain|plasma membrane electron transport chain
go:0070477	MNXC1	endospore core
go:0070505	MNXC1	pollen coat|tryphine|pollenkitt
go:0070514	MNXC6	SRF-myogenin-E12 complex
go:0070515	MNXC20	alphaIIb-beta3 integrin-talin complex
go:0070516	MNXC6	CAK-ERCC2 complex|cyclin-dependent protein kinase activating kinase holoenzyme-ERCC2 complex
go:0070517	MNXC6	DNA replication factor C core complex|RFC core complex
go:0070518	MNXC20	alpha4-beta1 integrin-CD53 complex
go:0070519	MNXC20	alpha4-beta1 integrin-CD63 complex
go:0070520	MNXC20	alpha4-beta1 integrin-CD81 complex
go:0070521	MNXC20	alpha4-beta1 integrin-CD82 complex
go:0070522	MNXC6	ERCC4-ERCC1 complex|Rad1-Rad10 complex|XPF-ERCC1 complex
go:0070531	MNXC6	BRCA1-A complex
go:0070532	MNXC6	BRCA1-B complex
go:0070533	MNXC6	BRCA1-C complex
go:0070545	MNXC6	PeBoW complex
go:0070552	MNXC6	BRISC complex
go:0070554	MNXC1	synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex
go:0070556	MNXC6	TAF4B-containing transcription factor TFIID complex
go:0070557	MNXC6	PCNA-p21 complex
go:0070558	MNXC20	alphaM-beta2 integrin-CD63 complex
go:0070559	MNXC17	lysosomal multienzyme complex
go:0070565	MNXC1	telomere-telomerase complex
go:0070578	MNXC1	RISC-loading complex|microRNA loading complex|miRLC
go:0070603	MNXC6	SWI/SNF-type complex|SWI-SNF-type complex
go:0070604	MNXC6	PBAF complex|Polybromo- and BAF containing complex|SWI/SNF complex B
go:0070618	MNXC20	Grb2-Sos complex
go:0070619	MNXC20	Shc-Grb2-Sos complex
go:0070620	MNXC20	EGFR-Grb2-Sos complex
go:0070621	MNXC20	EGFR-Shc-Grb2-Sos complex
go:0070622	MNXC17	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex|UDP-N-acetylglucosamine:lysosomal-enzyme N-acetylglucosamine-1-phosphotransferase complex
go:0070645	MNXC1	Ubisch body|orbicule
go:0070648	MNXC1	formin-nucleated actin cable
go:0070652	MNXC1	HAUS complex|HAUS augmin complex
go:0070685	MNXC1	macropinocytic cup|crown
go:0070686	MNXC20	macropinocytic cup membrane|crown membrane
